estimated_preparation_time,rider_to_kitchen_km,kitchen_to_customer_km,total_distance_km,hour_of_day,day_of_week,actual_delivery_minutes
13,2.84,4.64,7.48,12,2,30
13,2.84,4.64,7.48,12,2,30
28,0.05,5.07,5.13,12,2,42
28,0.05,5.07,5.13,12,2,42
32,0.05,5.73,5.78,13,2,50
32,0.05,5.73,5.78,13,2,50
26,0.05,6.82,6.87,13,2,45
26,0.05,6.82,6.87,13,2,45
14,1.71,1.79,3.5,14,2,29
14,1.71,1.79,3.5,14,2,29
15,2.84,4.97,7.8,15,2,38
15,2.84,4.97,7.8,15,2,38
20,1.71,3.6,5.31,16,2,33
20,1.71,3.6,5.31,16,2,33
35,2.84,5.9,8.74,16,2,56
35,2.84,5.9,8.74,16,2,56
34,0.05,3.83,3.89,17,2,42
34,0.05,3.83,3.89,17,2,42
22,1.71,5.28,6.99,17,2,37
22,1.71,5.28,6.99,17,2,37
14,2.84,2.74,5.58,18,2,37
14,2.84,2.74,5.58,18,2,37
19,1.71,5.93,7.64,19,2,47
19,1.71,5.93,7.64,19,2,47
12,0.05,4.86,4.91,21,2,24
12,0.05,4.86,4.91,21,2,24
18,0.05,4.46,4.51,21,2,29
18,0.05,4.46,4.51,21,2,29
33,2.84,1.43,4.26,21,2,46
33,2.84,1.43,4.26,21,2,46
25,1.71,5.05,6.76,11,3,45
25,1.71,5.05,6.76,11,3,45
23,0.05,5.56,5.61,11,3,34
23,0.05,5.56,5.61,11,3,34
32,1.71,4.48,6.19,12,3,53
32,1.71,4.48,6.19,12,3,53
17,0.05,3.73,3.79,13,3,34
17,0.05,3.73,3.79,13,3,34
13,0.05,6.52,6.57,13,3,36
13,0.05,6.52,6.57,13,3,36
28,0.05,4.0,4.05,15,3,41
28,0.05,4.0,4.05,15,3,41
24,1.71,7.85,9.56,15,3,44
24,1.71,7.85,9.56,15,3,44
34,2.84,4.8,7.64,16,3,51
34,2.84,4.8,7.64,16,3,51
26,1.71,6.37,8.08,16,3,44
26,1.71,6.37,8.08,16,3,44
34,0.05,6.63,6.68,16,3,55
34,0.05,6.63,6.68,16,3,55
28,2.84,4.29,7.12,17,3,48
28,2.84,4.29,7.12,17,3,48
21,0.05,3.2,3.26,17,3,30
21,0.05,3.2,3.26,17,3,30
27,2.84,4.91,7.75,17,3,44
27,2.84,4.91,7.75,17,3,44
34,0.05,6.88,6.94,18,3,56
34,0.05,6.88,6.94,18,3,56
20,0.05,2.01,2.06,19,3,31
20,0.05,2.01,2.06,19,3,31
35,2.84,1.72,4.56,20,3,57
35,2.84,1.72,4.56,20,3,57
15,1.71,3.73,5.44,21,3,34
15,1.71,3.73,5.44,21,3,34
17,1.71,2.48,4.19,12,4,31
17,1.71,2.48,4.19,12,4,31
26,2.84,4.81,7.65,12,4,48
26,2.84,4.81,7.65,12,4,48
28,0.05,6.58,6.63,12,4,50
28,0.05,6.58,6.63,12,4,50
24,1.71,2.29,4.0,12,4,35
24,1.71,2.29,4.0,12,4,35
28,0.05,2.43,2.48,13,4,42
28,0.05,2.43,2.48,13,4,42
18,0.05,0.89,0.94,14,4,26
18,0.05,0.89,0.94,14,4,26
25,0.05,5.06,5.11,14,4,41
25,0.05,5.06,5.11,14,4,41
32,1.71,3.28,4.99,14,4,44
32,1.71,3.28,4.99,14,4,44
30,2.84,7.85,10.69,16,4,53
30,2.84,7.85,10.69,16,4,53
13,2.84,7.04,9.88,18,4,52
13,2.84,7.04,9.88,18,4,52
22,0.05,6.61,6.66,20,4,48
22,0.05,6.61,6.66,20,4,48
27,1.71,4.92,6.63,20,4,55
27,1.71,4.92,6.63,20,4,55
31,0.05,6.93,6.98,21,4,48
31,0.05,6.93,6.98,21,4,48
19,0.05,1.11,1.17,21,4,20
19,0.05,1.11,1.17,21,4,20
28,0.05,6.89,6.94,11,5,41
28,0.05,6.89,6.94,11,5,41
35,2.84,7.57,10.41,11,5,60
35,2.84,7.57,10.41,11,5,60
22,1.71,4.74,6.45,12,5,47
22,1.71,4.74,6.45,12,5,47
17,1.71,2.11,3.83,12,5,32
17,1.71,2.11,3.83,12,5,32
26,1.71,2.69,4.4,12,5,39
26,1.71,2.69,4.4,12,5,39
29,0.05,2.38,2.44,13,5,42
29,0.05,2.38,2.44,13,5,42
22,1.71,5.8,7.51,13,5,44
22,1.71,5.8,7.51,13,5,44
24,2.84,3.55,6.38,13,5,43
24,2.84,3.55,6.38,13,5,43
29,2.84,3.94,6.78,13,5,52
29,2.84,3.94,6.78,13,5,52
28,1.71,6.48,8.19,16,5,44
28,1.71,6.48,8.19,16,5,44
25,2.84,1.56,4.4,16,5,35
25,2.84,1.56,4.4,16,5,35
34,2.84,1.36,4.2,17,5,43
34,2.84,1.36,4.2,17,5,43
17,2.84,6.9,9.74,18,5,53
17,2.84,6.9,9.74,18,5,53
31,2.84,1.4,4.24,19,5,48
31,2.84,1.4,4.24,19,5,48
30,1.71,1.66,3.38,20,5,47
30,1.71,1.66,3.38,20,5,47
35,2.84,2.27,5.1,20,5,62
35,2.84,2.27,5.1,20,5,62
33,1.71,4.76,6.48,20,5,58
33,1.71,4.76,6.48,20,5,58
22,0.05,6.72,6.78,21,5,40
22,0.05,6.72,6.78,21,5,40
19,2.84,6.66,9.49,21,5,41
19,2.84,6.66,9.49,21,5,41
17,2.84,7.61,10.44,11,6,44
17,2.84,7.61,10.44,11,6,44
28,1.71,4.81,6.52,11,6,45
28,1.71,4.81,6.52,11,6,45
35,1.71,4.53,6.25,12,6,58
35,1.71,4.53,6.25,12,6,58
35,2.84,6.94,9.78,13,6,66
35,2.84,6.94,9.78,13,6,66
31,1.71,7.79,9.5,14,6,57
31,1.71,7.79,9.5,14,6,57
31,0.05,4.7,4.75,14,6,47
31,0.05,4.7,4.75,14,6,47
12,0.05,0.66,0.71,15,6,14
12,0.05,0.66,0.71,15,6,14
29,2.84,4.28,7.12,16,6,50
29,2.84,4.28,7.12,16,6,50
15,2.84,7.8,10.64,16,6,36
15,2.84,7.8,10.64,16,6,36
23,1.71,5.22,6.94,17,6,40
23,1.71,5.22,6.94,17,6,40
15,2.84,3.63,6.46,17,6,32
15,2.84,3.63,6.46,17,6,32
